date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-10-01,east_south_central,513.4183813443072,0.5418381344307287,512.8765432098766,612.0,520.0
2019-10-01,florida,377.1550068587105,2.3155006858710547,374.8395061728395,712.0,368.0
2019-10-01,georgia,556.727023319616,31.072702331961597,525.6543209876544,607.0,477.0
2019-10-01,hawaii,169.46502057613168,11.946502057613166,157.5185185185185,101.0,141.0
2019-10-01,idaho,280.5679012345679,20.456790123456788,260.1111111111111,321.0,221.0
2019-10-01,illinois,1265.1755829903977,93.81755829903977,1171.358024691358,1330.0,992.0
2019-10-01,indiana,673.4951989026063,50.14951989026062,623.3456790123456,624.0,513.0
2019-10-01,iowa,2332.3470507544585,165.33470507544584,2167.0123456790125,2704.0,1818.0
2019-10-01,kansas,1848.9094650205764,154.39094650205763,1694.5185185185187,2093.0,1401.0
2019-10-01,kentucky,35.567901234567906,2.4567901234567904,33.111111111111114,40.0,35.0
2019-10-01,louisiana,259.92318244170093,5.392318244170095,254.53086419753086,194.0,254.0
2019-10-01,maine,324.6515775034294,1.5651577503429368,323.08641975308643,351.0,321.0
2019-10-01,maryland,139.35802469135803,9.135802469135804,130.22222222222223,117.0,115.0
2019-10-01,massachusetts,196.7366255144033,9.77366255144033,186.96296296296296,186.0,172.0
2019-10-01,michigan,726.1536351165981,49.21536351165982,676.9382716049383,702.0,590.0
2019-10-01,middle_atlantic,1409.3991769547324,63.13991769547324,1346.2592592592591,1202.0,1193.0
2019-10-01,minnesota,1316.7283950617284,77.17283950617285,1239.5555555555557,1439.0,1085.0
2019-10-01,mississippi,134.15363511659808,0.21536351165980883,133.93827160493828,146.0,133.0
2019-10-01,missouri,144.43758573388203,6.943758573388203,137.49382716049382,297.0,115.0
2019-10-01,montana,184.1358024691358,9.91358024691358,174.22222222222223,223.0,152.0
2019-10-01,mountain,4264.580246913581,315.358024691358,3949.222222222222,4371.0,3336.0
2019-10-01,nebraska,462.8614540466392,41.88614540466392,420.9753086419753,779.0,345.0
2019-10-01,nevada,768.2304526748972,65.8230452674897,702.4074074074074,793.0,593.0
2019-10-01,new_england,890.8395061728395,26.28395061728395,864.5555555555555,826.0,820.0
2019-10-01,new_hampshire,203.6323731138546,10.16323731138546,193.46913580246914,115.0,175.0
2019-10-01,new_jersey,181.8257887517147,10.282578875171469,171.54320987654322,148.0,153.0
2019-10-01,new_mexico,529.0178326474622,36.30178326474623,492.71604938271605,763.0,426.0
2019-10-01,new_york,624.4705075445816,24.34705075445816,600.1234567901234,603.0,531.0
2019-10-01,north_carolina,500.6639231824417,36.46639231824417,464.1975308641975,814.0,406.0
2019-10-01,north_dakota,939.0178326474622,68.30178326474623,870.716049382716,1279.0,731.0
2019-10-01,ohio,201.55281207133058,14.355281207133057,187.19753086419752,249.0,159.0
2019-10-01,oklahoma,2784.799725651578,251.37997256515777,2533.41975308642,3169.0,2096.0
2019-10-01,oregon,632.7805212620027,27.978052126200268,604.8024691358024,649.0,529.0
2019-10-01,pacific_contiguous,6341.259259259259,347.92592592592587,5993.333333333333,5929.0,5328.0
2019-10-01,pacific_noncontiguous,202.1385459533608,15.113854595336079,187.0246913580247,118.0,165.0
2019-10-01,pennsylvania,603.1165980795611,28.511659807956107,574.604938271605,451.0,509.0
2019-10-01,rhode_island,19.846364883401925,0.7846364883401924,19.06172839506173,42.0,18.0
2019-10-01,south_atlantic,2239.986282578875,103.9986282578875,2135.9876543209875,2984.0,1960.0
2019-10-01,south_carolina,185.3923182441701,3.63923182441701,181.7530864197531,228.0,175.0
2019-10-01,south_dakota,449.5130315500686,40.451303155006855,409.0617283950617,275.0,334.0
2019-10-01,tennessee,79.77366255144034,-0.5226337448559661,80.2962962962963,107.0,81.0
2019-10-01,texas,7182.152263374485,516.1152263374485,6666.0370370370365,7929.0,5660.0
2019-10-01,utah,349.2496570644719,27.22496570644719,322.0246913580247,301.0,265.0
2019-10-01,vermont,76.92318244170096,3.3923182441700956,73.53086419753086,66.0,67.0
2019-10-01,virginia,301.7489711934156,11.674897119341564,290.0740740740741,345.0,274.0
2019-10-01,washington,933.2085048010974,46.22085048010974,886.9876543209876,651.0,784.0
2019-10-01,west_north_central,7495.19890260631,554.5198902606311,6940.679012345679,8866.0,5830.0
2019-10-01,west_south_central,10331.954732510289,770.6954732510288,9561.25925925926,11398.0,8121.0
2019-10-01,west_virginia,161.74074074074073,9.074074074074073,152.66666666666666,147.0,130.0
